,Long,Lat,,
TG:,28.04210993,59.46905447,,
Model:,28.013565,59.491524,,
Kuup„ev,Aeg (UTC),TG (cm),Model (m),Model (cm)
1/1/2015,0:00:00,55.40,0.120690584,12.06905842
1/1/2015,1:00:00,52.80,0.137298748,13.72987479
1/1/2015,2:00:00,51.40,0.149039522,14.90395218
1/1/2015,3:00:00,52.60,0.177472875,17.74728745
1/1/2015,4:00:00,51.80,0.218659356,21.86593562
1/1/2015,5:00:00,50.40,0.231222674,23.12226743
1/1/2015,6:00:00,51.40,0.244689047,24.46890473
1/1/2015,7:00:00,54.30,0.271419883,27.14198828
1/1/2015,8:00:00,55.90,0.295956314,29.59563136
1/1/2015,9:00:00,58.70,0.313086122,31.30861223
1/1/2015,10:00:00,58.90,0.330653429,33.0653429
1/1/2015,11:00:00,61.90,0.331127852,33.11278522
1/1/2015,12:00:00,65.60,0.343045264,34.30452645
1/1/2015,13:00:00,66.90,0.354817927,35.48179269
1/1/2015,14:00:00,69.80,0.384463102,38.44631016
1/1/2015,15:00:00,71.70,0.409975529,40.99755287
1/1/2015,16:00:00,74.90,0.413584501,41.35845006
1/1/2015,17:00:00,74.30,0.410675794,41.06757939
1/1/2015,18:00:00,75.20,0.407984406,40.79844058
1/1/2015,19:00:00,81.40,0.400906384,40.0906384
1/1/2015,20:00:00,85.30,0.426623791,42.66237915
1/1/2015,21:00:00,86.30,0.454328746,45.43287456
1/1/2015,22:00:00,87.30,0.401277512,40.12775123
1/1/2015,23:00:00,83.60,0.349512845,34.95128453
1/2/2015,0:00:00,82.50,0.333612055,33.36120546
1/2/2015,1:00:00,80.50,0.314295232,31.42952323
1/2/2015,2:00:00,79.10,0.285434246,28.54342461
1/2/2015,3:00:00,71.80,0.310066611,31.00666106
1/2/2015,4:00:00,69.10,0.296630323,29.66303229
1/2/2015,5:00:00,69.60,0.230192572,23.01925719
1/2/2015,6:00:00,66.90,0.209398985,20.93989849
1/2/2015,7:00:00,61.60,0.214747548,21.47475481
1/2/2015,8:00:00,59.50,0.22124435,22.12443501
1/2/2015,9:00:00,56.40,0.220756948,22.0756948
1/2/2015,10:00:00,53.50,0.273966491,27.39664912
1/2/2015,11:00:00,56.10,0.300834715,30.08347154
1/2/2015,12:00:00,61.70,0.326242745,32.62427449
1/2/2015,13:00:00,67.10,0.472741753,47.27417529
1/2/2015,14:00:00,68.70,0.552825868,55.28258681
1/2/2015,15:00:00,77.70,0.61312896,61.31289601
1/2/2015,16:00:00,84.60,0.775524318,77.55243182
1/2/2015,17:00:00,93.20,0.93102771,93.10277104
1/2/2015,18:00:00,108.00,1.002944231,100.2944231
1/2/2015,19:00:00,120.40,1.028713584,102.8713584
1/2/2015,20:00:00,133.20,1.031510472,103.1510472
1/2/2015,21:00:00,149.30,1.005117655,100.5117655
1/2/2015,22:00:00,150.10,0.877611041,87.76110411
1/2/2015,23:00:00,148.10,0.816262484,81.62624836
1/3/2015,0:00:00,144.10,0.881051958,88.10519576
1/3/2015,1:00:00,138.50,0.789754748,78.97547483
1/3/2015,2:00:00,134.90,0.813398957,81.33989573
1/3/2015,3:00:00,132.80,0.814191461,81.41914606
1/3/2015,4:00:00,124.30,0.706665576,70.66655755
1/3/2015,5:00:00,119.10,0.61171782,61.17178202
1/3/2015,6:00:00,118.10,0.671446085,67.1446085
