,Long,Lat,,
TG:,26.54172651,59.52100174,,
Model:,26.51358,59.558189,,
Kuup„ev,Aeg (UTC),TG (cm),Model (m),Model (cm)
1/1/2015,0:00:00,48.30,0.102819882,10.28198823
1/1/2015,1:00:00,47.70,0.111934669,11.19346693
1/1/2015,2:00:00,47.20,0.13000153,13.00015301
1/1/2015,3:00:00,47.20,0.160139799,16.01397991
1/1/2015,4:00:00,46.30,0.177443162,17.74431616
1/1/2015,5:00:00,47.00,0.197790027,19.77900267
1/1/2015,6:00:00,48.30,0.220674351,22.06743509
1/1/2015,7:00:00,50.20,0.233413428,23.34134281
1/1/2015,8:00:00,52.30,0.256604463,25.66044629
1/1/2015,9:00:00,53.00,0.273476124,27.34761238
1/1/2015,10:00:00,55.70,0.286587924,28.65879238
1/1/2015,11:00:00,57.80,0.301090062,30.10900617
1/1/2015,12:00:00,60.10,0.322076559,32.20765591
1/1/2015,13:00:00,61.20,0.339579284,33.95792842
1/1/2015,14:00:00,64.80,0.348093182,34.80931818
1/1/2015,15:00:00,67.30,0.361290634,36.12906337
1/1/2015,16:00:00,67.50,0.364025176,36.40251756
1/1/2015,17:00:00,70.00,0.363226563,36.32265627
1/1/2015,18:00:00,73.40,0.374579936,37.45799363
1/1/2015,19:00:00,77.10,0.382038504,38.20385039
1/1/2015,20:00:00,80.00,0.376415253,37.64152527
1/1/2015,21:00:00,79.10,0.370667249,37.0667249
1/1/2015,22:00:00,78.20,0.341300666,34.13006663
1/1/2015,23:00:00,77.00,0.314602703,31.46027029
1/2/2015,0:00:00,75.80,0.298323214,29.83232141
1/2/2015,1:00:00,74.50,0.283790082,28.37900817
1/2/2015,2:00:00,71.00,0.27472198,27.47219801
1/2/2015,3:00:00,69.00,0.266013891,26.60138905
1/2/2015,4:00:00,67.80,0.244119778,24.41197783
1/2/2015,5:00:00,65.30,0.228193045,22.81930447
1/2/2015,6:00:00,61.70,0.216156706,21.61567062
1/2/2015,7:00:00,58.90,0.223167717,22.31677175
1/2/2015,8:00:00,54.50,0.212336227,21.23362273
1/2/2015,9:00:00,53.80,0.254623115,25.46231151
1/2/2015,10:00:00,54.60,0.277724475,27.77244747
1/2/2015,11:00:00,58.80,0.312946409,31.2946409
1/2/2015,12:00:00,63.20,0.400478244,40.04782438
1/2/2015,13:00:00,66.50,0.455855489,45.58554888
1/2/2015,14:00:00,71.70,0.516803741,51.68037415
1/2/2015,15:00:00,76.00,0.651005805,65.10058045
1/2/2015,16:00:00,85.80,0.729793429,72.97934294
1/2/2015,17:00:00,96.00,0.774649203,77.46492028
1/2/2015,18:00:00,106.40,0.789741874,78.97418737
1/2/2015,19:00:00,115.80,0.742724717,74.27247167
1/2/2015,20:00:00,118.30,0.775240958,77.52409577
1/2/2015,21:00:00,120.40,0.749956489,74.99564886
1/2/2015,22:00:00,119.70,0.722793341,72.27933407
