,Long,Lat,,
TG:,24.04931759,59.35075951,,
Model:,24.06916,59.391525,,
Kuupäev,Aeg (UTC),TG (cm),Model (m),Model (cm)
1/1/2015,0:00:00,,0.081403963,8.140396327
1/1/2015,1:00:00,,0.108791389,10.87913886
1/1/2015,2:00:00,,0.133112803,13.31128031
1/1/2015,3:00:00,,0.135579079,13.55790794
1/1/2015,4:00:00,,0.135287285,13.52872849
1/1/2015,5:00:00,,0.133590862,13.35908622
1/1/2015,6:00:00,,0.141142577,14.11425769
1/1/2015,7:00:00,,0.150365576,15.03655761
1/1/2015,8:00:00,,0.166759863,16.67598635
1/1/2015,9:00:00,,0.183794096,18.37940961
1/1/2015,10:00:00,,0.204513505,20.45135051
1/1/2015,11:00:00,,0.222342134,22.23421335
1/1/2015,12:00:00,,0.235625818,23.56258184
1/1/2015,13:00:00,,0.249564096,24.95640963
1/1/2015,14:00:00,,0.258981854,25.89818537
1/1/2015,15:00:00,,0.259854317,25.98543167
1/1/2015,16:00:00,,0.268408448,26.84084475
1/1/2015,17:00:00,,0.269903034,26.9903034
1/1/2015,18:00:00,,0.264636517,26.46365166
1/1/2015,19:00:00,,0.251255751,25.12557507
1/1/2015,20:00:00,,0.239979312,23.99793118
1/1/2015,21:00:00,,0.221917048,22.19170481
1/1/2015,22:00:00,,0.214435577,21.44355774
1/1/2015,23:00:00,,0.216031894,21.60318941
1/2/2015,0:00:00,,0.226203248,22.62032479
1/2/2015,1:00:00,,0.217259392,21.72593921
1/2/2015,2:00:00,,0.206088319,20.60883194
1/2/2015,3:00:00,,0.199912831,19.99128312
1/2/2015,4:00:00,,0.202990204,20.29902041
1/2/2015,5:00:00,,0.210978061,21.0978061
1/2/2015,6:00:00,,0.229533494,22.95334935
1/2/2015,7:00:00,,0.249607146,24.96071458
1/2/2015,8:00:00,,0.272193819,27.21938193
1/2/2015,9:00:00,,0.317661166,31.76611662
1/2/2015,10:00:00,,0.366999716,36.69997156
1/2/2015,11:00:00,,0.417501956,41.75019562
1/2/2015,12:00:00,,0.442731082,44.27310824
1/2/2015,13:00:00,,0.49918443,49.91844296
1/2/2015,14:00:00,,0.583977878,58.39778781
1/2/2015,15:00:00,,0.557057738,55.70577383
1/2/2015,16:00:00,,0.494016439,49.40164387
1/2/2015,17:00:00,,0.428732812,42.87328124
1/2/2015,18:00:00,,0.399766386,39.97663856
1/2/2015,19:00:00,,0.380329847,38.03298473
1/2/2015,20:00:00,,0.395075947,39.5075947
1/2/2015,21:00:00,,0.386020422,38.6020422
1/2/2015,22:00:00,,0.427544594,42.75445938
1/2/2015,23:00:00,,0.463175029,46.31750286
1/3/2015,0:00:00,,0.483552098,48.35520983
1/3/2015,1:00:00,,0.482148409,48.21484089
1/3/2015,2:00:00,,0.441662461,44.16624606
1/3/2015,3:00:00,,0.413650632,41.36506319
1/3/2015,4:00:00,,0.392568439,39.25684392
1/3/2015,5:00:00,,0.38759613,38.75961304
1/3/2015,6:00:00,,0.374327511,37.43275106
1/3/2015,7:00:00,,0.365973473,36.59734726
1/3/2015,8:00:00,,0.352837831,35.28378308
1/3/2015,9:00:00,,0.364528298,36.45282984
1/3/2015,10:00:00,,0.409028709,40.90287089
1/3/2015,11:00:00,,0.431716442,43.17164421
1/3/2015,12:00:00,,0.448061794,44.8061794
1/3/2015,13:00:00,,0.454141885,45.4141885
1/3/2015,14:00:00,,0.424051464,42.40514636
1/3/2015,15:00:00,,0.399195611,39.91956115
1/3/2015,16:00:00,,0.382410973,38.24109733
1/3/2015,17:00:00,,0.371782452,37.17824519
1/3/2015,18:00:00,,0.372309178,37.23091781
1/3/2015,19:00:00,,0.373869538,37.38695383
1/3/2015,20:00:00,,0.373375982,37.3375982
1/3/2015,21:00:00,,0.355397254,35.53972542
1/3/2015,22:00:00,,0.337751567,33.77515674
1/3/2015,23:00:00,,0.323351651,32.33516514
1/4/2015,0:00:00,,0.322076142,32.20761418
1/4/2015,1:00:00,,0.321715832,32.17158318
1/4/2015,2:00:00,,0.312817931,31.28179312
1/4/2015,3:00:00,,0.292301089,29.23010886
1/4/2015,4:00:00,,0.264720738,26.47207379
1/4/2015,5:00:00,,0.243046999,24.3046999
1/4/2015,6:00:00,,0.234249443,23.42494428
1/4/2015,7:00:00,,0.233323291,23.33232909
1/4/2015,8:00:00,,0.238391086,23.83910865
1/4/2015,9:00:00,,0.23351647,23.35164696
1/4/2015,10:00:00,,0.224444017,22.44440168
1/4/2015,11:00:00,,0.216185242,21.61852419
1/4/2015,12:00:00,,0.214036554,21.40365541
1/4/2015,13:00:00,,0.217085287,21.7085287
1/4/2015,14:00:00,,0.233514309,23.35143089
1/4/2015,15:00:00,,0.245251134,24.5251134
1/4/2015,16:00:00,,0.254251122,25.42511225
1/4/2015,17:00:00,,0.259714723,25.97147226
1/4/2015,18:00:00,,0.265484452,26.54844522
1/4/2015,19:00:00,,0.283053875,28.3053875
1/4/2015,20:00:00,,0.309296846,30.92968464
1/4/2015,21:00:00,,0.323679298,32.36792982
1/4/2015,22:00:00,,0.329943776,32.99437761
1/4/2015,23:00:00,,0.331719339,33.17193389
1/5/2015,0:00:00,,0.329750746,32.97507465
1/5/2015,1:00:00,,0.319375426,31.93754256
1/5/2015,2:00:00,,0.315030843,31.5030843
1/5/2015,3:00:00,,0.314212441,31.42124414
1/5/2015,4:00:00,,0.319582313,31.95823133
1/5/2015,5:00:00,,0.322787762,32.27877617
1/5/2015,6:00:00,,0.309641421,30.96414208
1/5/2015,7:00:00,,0.279578596,27.95785964
1/5/2015,8:00:00,,0.252206594,25.22065938
1/5/2015,9:00:00,,0.224006742,22.40067422
1/5/2015,10:00:00,,0.197812095,19.78120953
1/5/2015,11:00:00,,0.174871832,17.48718321
1/5/2015,12:00:00,,0.156800672,15.68006724
1/5/2015,13:00:00,,0.140454441,14.04544413
1/5/2015,14:00:00,,0.127579406,12.75794059
1/5/2015,15:00:00,,0.111748524,11.1748524
1/5/2015,16:00:00,,0.10378971,10.37897095
1/5/2015,17:00:00,,0.106777541,10.67775413
1/5/2015,18:00:00,,0.118002616,11.80026159
1/5/2015,19:00:00,,0.126016408,12.60164082
1/5/2015,20:00:00,,0.130261987,13.02619874
1/5/2015,21:00:00,,0.129516095,12.95160949
1/5/2015,22:00:00,,0.128028989,12.80289888
1/5/2015,23:00:00,,0.126976177,12.69761771
1/6/2015,0:00:00,,0.129140735,12.91407347
1/6/2015,1:00:00,,0.133671328,13.36713284
1/6/2015,2:00:00,,0.139315322,13.9315322
1/6/2015,3:00:00,,0.139093697,13.90936971
1/6/2015,4:00:00,,0.144171312,14.41713125
1/6/2015,5:00:00,,0.154551938,15.45519382
1/6/2015,6:00:00,,0.163881749,16.38817489
1/6/2015,7:00:00,,0.166004822,16.60048217
1/6/2015,8:00:00,,0.165912956,16.5912956
1/6/2015,9:00:00,,0.161550045,16.1550045
1/6/2015,10:00:00,,0.154073909,15.40739089
1/6/2015,11:00:00,,0.144905001,14.49050009
1/6/2015,12:00:00,,0.134665892,13.46658915
1/6/2015,13:00:00,,0.120710209,12.0710209
1/6/2015,14:00:00,,0.106857121,10.6857121
1/6/2015,15:00:00,,0.096989028,9.698902816
1/6/2015,16:00:00,,0.093541615,9.354161471
1/6/2015,17:00:00,,0.096553028,9.655302763
1/6/2015,18:00:00,,0.102026634,10.20266339
1/6/2015,19:00:00,,0.111976489,11.19764894
1/6/2015,20:00:00,,0.119296625,11.92966253
1/6/2015,21:00:00,,0.128380775,12.83807755
1/6/2015,22:00:00,,0.131769478,13.17694783
1/6/2015,23:00:00,,0.128820688,12.88206875
1/7/2015,0:00:00,,0.126496479,12.64964789
1/7/2015,1:00:00,,0.124738432,12.47384325
1/7/2015,2:00:00,,0.122405685,12.24056855
1/7/2015,3:00:00,,0.115259819,11.52598187
1/7/2015,4:00:00,,0.11760205,11.76020503
1/7/2015,5:00:00,,0.123940401,12.39404008
1/7/2015,6:00:00,,0.133882657,13.38826567
1/7/2015,7:00:00,,0.14480041,14.48004097
1/7/2015,8:00:00,,0.15261592,15.26159197
1/7/2015,9:00:00,,0.153807238,15.38072377
1/7/2015,10:00:00,,0.155163735,15.51637352
1/7/2015,11:00:00,,0.147460893,14.74608928
1/7/2015,12:00:00,,0.139103636,13.91036361
1/7/2015,13:00:00,,0.1351403,13.51402998
1/7/2015,14:00:00,,0.131256327,13.1256327
1/7/2015,15:00:00,,0.1181648,11.81648001
1/7/2015,16:00:00,,0.111142956,11.11429557
1/7/2015,17:00:00,,0.097481236,9.748123586
1/7/2015,18:00:00,,0.085223101,8.522310108
1/7/2015,19:00:00,,0.078762621,7.876262069
1/7/2015,20:00:00,,0.076280661,7.628066093
1/7/2015,21:00:00,,0.068969138,6.896913797
1/7/2015,22:00:00,,0.070243955,7.024395466
1/7/2015,23:00:00,,0.059623189,5.962318927
1/8/2015,0:00:00,,0.051276393,5.127639323
1/8/2015,1:00:00,,0.050342571,5.034257099
1/8/2015,2:00:00,,0.056259461,5.625946075
1/8/2015,3:00:00,,0.056473695,5.647369474
1/8/2015,4:00:00,,0.068349928,6.834992766
1/8/2015,5:00:00,,0.077603586,7.760358602
1/8/2015,6:00:00,,0.087490536,8.749053627
1/8/2015,7:00:00,,0.104262233,10.42622328
1/8/2015,8:00:00,,0.146345243,14.63452429
1/8/2015,9:00:00,,0.186725959,18.67259592
1/8/2015,10:00:00,,0.242820024,24.28200245
1/8/2015,11:00:00,,0.293017864,29.30178642
1/8/2015,12:00:00,,0.329349339,32.9349339
1/8/2015,13:00:00,,0.348061532,34.80615318
1/8/2015,14:00:00,,0.35142222,35.14222205
1/8/2015,15:00:00,,0.338237286,33.82372856
1/8/2015,16:00:00,,0.329176694,32.91766942
1/8/2015,17:00:00,,0.314299911,31.42999113
1/8/2015,18:00:00,,0.285868019,28.58680189
1/8/2015,19:00:00,,0.261780143,26.17801428
1/8/2015,20:00:00,,0.256257862,25.62578619
1/8/2015,21:00:00,,0.242481083,24.24810827
1/8/2015,22:00:00,,0.21201621,21.201621
1/8/2015,23:00:00,,0.170480803,17.04808027
1/9/2015,0:00:00,,0.126817212,12.68172115
1/9/2015,1:00:00,,0.083308116,8.33081156
1/9/2015,2:00:00,,0.053883862,5.388386175
1/9/2015,3:00:00,,0.030899011,3.08990106
1/9/2015,4:00:00,,0.018996157,1.899615675
1/9/2015,5:00:00,,0.022676244,2.267624438
1/9/2015,6:00:00,,0.031535763,3.153576329
1/9/2015,7:00:00,,0.055376992,5.537699163
1/9/2015,8:00:00,,0.090808876,9.080887586
1/9/2015,9:00:00,,0.127163365,12.71633655
1/9/2015,10:00:00,,0.168467939,16.84679389
1/9/2015,11:00:00,,0.198864728,19.88647282
1/9/2015,12:00:00,,0.21026364,21.02636397
1/9/2015,13:00:00,,0.207336009,20.73360085
1/9/2015,14:00:00,,0.211585239,21.15852386
1/9/2015,15:00:00,,0.227341637,22.7341637
1/9/2015,16:00:00,,0.240022883,24.00228828
1/9/2015,17:00:00,,0.230905011,23.09050113
1/9/2015,18:00:00,,0.211065307,21.10653073
1/9/2015,19:00:00,,0.192334935,19.23349351
1/9/2015,20:00:00,,0.193034917,19.30349171
1/9/2015,21:00:00,,0.216947973,21.69479728
1/9/2015,22:00:00,,0.253441095,25.34410954
1/9/2015,23:00:00,,0.287884057,28.78840566
1/10/2015,0:00:00,,0.309159458,30.91594577
